dataset_id,family,attack,pr_auc,recall_1pct
0,profile_mix,dispersion,0.4795590480832516,0.05
0,profile_mix,time_shift,0.5222424639346591,0.025
0,profile_mix,combined,0.5139698688798264,0.05
1,profile_mix,dispersion,0.4450076439030576,0.0
1,profile_mix,time_shift,0.4770393083787755,0.0
1,profile_mix,combined,0.4357189337035372,0.0
2,profile_mix,dispersion,0.5051954505489666,0.045454545454545456
2,profile_mix,time_shift,0.5677927476012391,0.045454545454545456
2,profile_mix,combined,0.4936400625868611,0.045454545454545456
3,profile_mix,dispersion,0.5049013583396612,0.03333333333333333
3,profile_mix,time_shift,0.5774028740259808,0.03333333333333333
3,profile_mix,combined,0.4798762209581511,0.03333333333333333
4,calendar_payroll,dispersion,0.5458430867602152,0.02040816326530612
4,calendar_payroll,time_shift,0.413525854923585,0.0
4,calendar_payroll,combined,0.5421444246701494,0.02040816326530612
5,calendar_payroll,dispersion,0.40267130330066625,0.0
5,calendar_payroll,time_shift,0.4016523954854262,0.0196078431372549
5,calendar_payroll,combined,0.38242299397411217,0.0
6,calendar_payroll,dispersion,0.5716877139494088,0.02
6,calendar_payroll,time_shift,0.441844051945228,0.0
6,calendar_payroll,combined,0.5558802410797634,0.0
7,calendar_payroll,dispersion,0.5144969274080481,0.03225806451612903
7,calendar_payroll,time_shift,0.5877751237386191,0.03225806451612903
7,calendar_payroll,combined,0.5099020402014425,0.03225806451612903
8,merchant_network,dispersion,0.4188012631431788,0.05128205128205128
8,merchant_network,time_shift,0.37796313410180493,0.05128205128205128
8,merchant_network,combined,0.4110761416613496,0.05128205128205128
9,merchant_network,dispersion,0.27236592237841445,0.0
9,merchant_network,time_shift,0.2929744311301493,0.025
9,merchant_network,combined,0.2584467841204111,0.0
10,merchant_network,dispersion,0.48253736441942846,0.021739130434782608
10,merchant_network,time_shift,0.49927752783091056,0.021739130434782608
10,merchant_network,combined,0.46104642347591995,0.021739130434782608
11,merchant_network,dispersion,0.39062619234224427,0.05555555555555555
11,merchant_network,time_shift,0.4475309510156588,0.05555555555555555
11,merchant_network,combined,0.3273635391219839,0.027777777777777776
12,remittance_corridor,dispersion,0.3710355110242539,0.022727272727272728
12,remittance_corridor,time_shift,0.4192161252897497,0.022727272727272728
12,remittance_corridor,combined,0.3408852837650119,0.022727272727272728
13,remittance_corridor,dispersion,0.48305229201289585,0.024390243902439025
13,remittance_corridor,time_shift,0.5795361580731991,0.024390243902439025
13,remittance_corridor,combined,0.462861490702677,0.024390243902439025
14,remittance_corridor,dispersion,0.572961075046303,0.03773584905660377
14,remittance_corridor,time_shift,0.6062684025562595,0.03773584905660377
14,remittance_corridor,combined,0.5388643664039003,0.03773584905660377
15,remittance_corridor,dispersion,0.37116589858725374,0.0
15,remittance_corridor,time_shift,0.33973771071573755,0.0
15,remittance_corridor,combined,0.3661328604369578,0.0
