dataset_id,family,network,pip_local,delta
0,profile_mix,0.5228687270811372,0.44153008437216534,0.08133864270897184
1,profile_mix,0.4770393083787755,0.5410780656904057,-0.06403875731163022
2,profile_mix,0.5674139597224512,0.5779586127607802,-0.010544653038328966
3,profile_mix,0.5778067306509204,0.4371614056976888,0.14064532495323157
4,calendar_payroll,0.413525854923585,0.3518913475334998,0.06163450739008519
5,calendar_payroll,0.4016523954854262,0.33952565017653275,0.06212674530889345
6,calendar_payroll,0.441844051945228,0.33841903678816987,0.10342501515705815
7,calendar_payroll,0.5880624464751003,0.5031774377934157,0.08488500868168458
8,merchant_network,0.3780835145038755,0.301696626561151,0.07638688794272452
9,merchant_network,0.2932519235907404,0.40058809479637014,-0.10733617120562972
10,merchant_network,0.4992062235116068,0.4291530986405133,0.0700531248710935
11,merchant_network,0.44832392909236035,0.459350600304954,-0.011026671212593653
12,remittance_corridor,0.4192161252897497,0.3974834051436873,0.021732720146062423
13,remittance_corridor,0.5789551085871513,0.45733833804145635,0.12161677054569492
14,remittance_corridor,0.6062684025562595,0.42276998039177416,0.1834984221644853
15,remittance_corridor,0.33973771071573755,0.22654425956297264,0.11319345115276491
