dataset_id,family,seed,model,pr_auc,roc_auc,n_test,n_pos,recall_0.005,precision_0.005,recall_0.01,precision_0.01,recall_0.02,precision_0.02
0,profile_mix,31000,pip_local,0.44153008437216534,0.8156249999999999,232,40,0.025,1.0,0.05,1.0,0.075,0.75
0,profile_mix,31000,network,0.5228687270811372,0.8709635416666666,232,40,0.025,1.0,0.025,0.5,0.05,0.5
1,profile_mix,31001,pip_local,0.5410780656904057,0.7349033816425121,283,99,0.010101010101010102,1.0,0.020202020202020204,1.0,0.04040404040404041,0.8
1,profile_mix,31001,network,0.4770393083787755,0.7031730346947739,283,99,0.0,0.0,0.0,0.0,0.010101010101010102,0.2
2,profile_mix,31002,pip_local,0.5779586127607802,0.8671691003297222,237,44,0.022727272727272728,1.0,0.045454545454545456,1.0,0.045454545454545456,0.5
2,profile_mix,31002,network,0.5674139597224512,0.8775317946302402,237,44,0.022727272727272728,1.0,0.045454545454545456,1.0,0.045454545454545456,0.5
3,profile_mix,31003,pip_local,0.4371614056976888,0.7928947368421053,250,60,0.0,0.0,0.016666666666666666,0.5,0.03333333333333333,0.4
3,profile_mix,31003,network,0.5778067306509204,0.8346491228070176,250,60,0.016666666666666666,1.0,0.03333333333333333,1.0,0.06666666666666667,0.8
4,calendar_payroll,31100,pip_local,0.3518913475334998,0.7382761615284411,237,49,0.0,0.0,0.0,0.0,0.02040816326530612,0.25
4,calendar_payroll,31100,network,0.413525854923585,0.8011289622231872,237,49,0.0,0.0,0.0,0.0,0.0,0.0
5,calendar_payroll,31101,pip_local,0.33952565017653275,0.714403038702392,242,51,0.0,0.0,0.0,0.0,0.0196078431372549,0.25
5,calendar_payroll,31101,network,0.4016523954854262,0.7468432399137666,242,51,0.0,0.0,0.0196078431372549,0.5,0.0196078431372549,0.25
6,calendar_payroll,31102,pip_local,0.33841903678816987,0.7390673575129533,243,50,0.0,0.0,0.0,0.0,0.02,0.25
6,calendar_payroll,31102,network,0.441844051945228,0.7870466321243523,243,50,0.0,0.0,0.0,0.0,0.02,0.25
7,calendar_payroll,31103,pip_local,0.5031774377934157,0.8086704215736473,251,62,0.0,0.0,0.016129032258064516,0.5,0.06451612903225806,0.8
7,calendar_payroll,31103,network,0.5880624464751003,0.8279569892473118,251,62,0.016129032258064516,1.0,0.03225806451612903,1.0,0.08064516129032258,1.0
8,merchant_network,31200,pip_local,0.301696626561151,0.6743325403119218,233,39,0.02564102564102564,1.0,0.02564102564102564,0.5,0.02564102564102564,0.25
8,merchant_network,31200,network,0.3780835145038755,0.7290510177108115,233,39,0.02564102564102564,1.0,0.05128205128205128,1.0,0.07692307692307693,0.75
9,merchant_network,31201,pip_local,0.40058809479637014,0.7582051282051282,235,40,0.0,0.0,0.025,0.5,0.05,0.5
9,merchant_network,31201,network,0.2932519235907404,0.6906410256410256,235,40,0.025,1.0,0.025,0.5,0.025,0.25
10,merchant_network,31202,pip_local,0.4291530986405133,0.7638951142985209,240,46,0.021739130434782608,1.0,0.021739130434782608,0.5,0.021739130434782608,0.25
10,merchant_network,31202,network,0.4992062235116068,0.7971761541909458,240,46,0.0,0.0,0.021739130434782608,0.5,0.06521739130434782,0.75
11,merchant_network,31203,pip_local,0.459350600304954,0.7599715099715101,231,36,0.027777777777777776,1.0,0.05555555555555555,1.0,0.1111111111111111,1.0
11,merchant_network,31203,network,0.44832392909236035,0.7827635327635327,231,36,0.027777777777777776,1.0,0.05555555555555555,1.0,0.1111111111111111,1.0
12,remittance_corridor,31300,pip_local,0.3974834051436873,0.7543345829428304,238,44,0.022727272727272728,1.0,0.022727272727272728,0.5,0.045454545454545456,0.5
12,remittance_corridor,31300,network,0.4192161252897497,0.7776476101218369,238,44,0.022727272727272728,1.0,0.022727272727272728,0.5,0.045454545454545456,0.5
13,remittance_corridor,31301,pip_local,0.45733833804145635,0.827005280362082,235,41,0.024390243902439025,1.0,0.024390243902439025,0.5,0.07317073170731707,0.75
13,remittance_corridor,31301,network,0.5789551085871513,0.8598189590143325,235,41,0.024390243902439025,1.0,0.024390243902439025,0.5,0.07317073170731707,0.75
14,remittance_corridor,31302,pip_local,0.42276998039177416,0.7452830188679245,245,53,0.018867924528301886,1.0,0.03773584905660377,1.0,0.05660377358490566,0.75
14,remittance_corridor,31302,network,0.6062684025562595,0.8157429245283019,245,53,0.018867924528301886,1.0,0.03773584905660377,1.0,0.07547169811320754,1.0
15,remittance_corridor,31303,pip_local,0.22654425956297264,0.7536734693877551,221,25,0.0,0.0,0.0,0.0,0.04,0.25
15,remittance_corridor,31303,network,0.33973771071573755,0.8597959183673468,221,25,0.0,0.0,0.0,0.0,0.0,0.0
