maximum_gross_exposure_share,eligible_users_million,adoption_share,implied_holding_limit_ceiling_eur
0.03,250,0.25,4733.2571232
0.03,250,0.5,2366.6285616
0.03,250,0.75,1577.7523744
0.03,250,1.0,1183.3142808
0.03,300,0.25,3944.380936
0.03,300,0.5,1972.190468
0.03,300,0.75,1314.7936453333334
0.03,300,1.0,986.095234
0.03,358,0.25,3305.3471530726256
0.03,358,0.5,1652.6735765363128
0.03,358,0.75,1101.7823843575418
0.03,358,1.0,826.3367882681564
0.05,250,0.25,7888.761872
0.05,250,0.5,3944.380936
0.05,250,0.75,2629.587290666667
0.05,250,1.0,1972.190468
0.05,300,0.25,6573.968226666667
0.05,300,0.5,3286.9841133333334
0.05,300,0.75,2191.322742222222
0.05,300,1.0,1643.4920566666667
0.05,358,0.25,5508.91192178771
0.05,358,0.5,2754.455960893855
0.05,358,0.75,1836.3039739292365
0.05,358,1.0,1377.2279804469274
0.075,250,0.25,11833.142808
0.075,250,0.5,5916.571404
0.075,250,0.75,3944.380936
0.075,250,1.0,2958.285702
0.075,300,0.25,9860.95234
0.075,300,0.5,4930.47617
0.075,300,0.75,3286.9841133333334
0.075,300,1.0,2465.238085
0.075,358,0.25,8263.367882681565
0.075,358,0.5,4131.683941340782
0.075,358,0.75,2754.455960893855
0.075,358,1.0,2065.841970670391
0.1,250,0.25,15777.523744
0.1,250,0.5,7888.761872
0.1,250,0.75,5259.174581333334
0.1,250,1.0,3944.380936
0.1,300,0.25,13147.936453333334
0.1,300,0.5,6573.968226666667
0.1,300,0.75,4382.645484444444
0.1,300,1.0,3286.9841133333334
0.1,358,0.25,11017.82384357542
0.1,358,0.5,5508.91192178771
0.1,358,0.75,3672.607947858473
0.1,358,1.0,2754.455960893855
