seed,profile,attacker,split,pairwise_auc
0,rotation_only,network,unseen_users,0.9924640624999999
0,rotation_only,network,independent_generator,0.94879375
0,rotation_only,compromised_pip,unseen_users,0.9922140624999999
0,rotation_only,compromised_pip,independent_generator,0.9480859375
0,relay_standardized,network,unseen_users,0.917434375
0,relay_standardized,network,independent_generator,0.7362328125
0,relay_standardized,compromised_pip,unseen_users,0.9239687499999999
0,relay_standardized,compromised_pip,independent_generator,0.7615609375000001
0,shielded_batched,network,unseen_users,0.8134453125000001
0,shielded_batched,network,independent_generator,0.6154828124999999
0,shielded_batched,compromised_pip,unseen_users,0.8343578125
0,shielded_batched,compromised_pip,independent_generator,0.6614781249999999
1,rotation_only,network,unseen_users,0.9907093749999999
1,rotation_only,network,independent_generator,0.9507109375
1,rotation_only,compromised_pip,unseen_users,0.99066875
1,rotation_only,compromised_pip,independent_generator,0.9514640624999999
1,relay_standardized,network,unseen_users,0.934678125
1,relay_standardized,network,independent_generator,0.74531875
1,relay_standardized,compromised_pip,unseen_users,0.9377765625
1,relay_standardized,compromised_pip,independent_generator,0.77144375
1,shielded_batched,network,unseen_users,0.8462375
1,shielded_batched,network,independent_generator,0.59503125
1,shielded_batched,compromised_pip,unseen_users,0.8592609375000001
1,shielded_batched,compromised_pip,independent_generator,0.6475656249999999
