seed,profile,split,candidate_size,top1,top10,mrr,median_rank
0,rotation_only,unseen_users,100,0.9375,1.0,0.96875,1.0
0,rotation_only,unseen_users,1000,0.375,0.625,0.46271184806795274,4.5
0,rotation_only,unseen_users,3000,0.3125,1.0,0.4804563492063492,3.0
0,rotation_only,independent_generator,100,0.3125,0.8125,0.48034222298335205,2.5
0,rotation_only,independent_generator,1000,0.125,0.5,0.1995999666172555,12.5
0,rotation_only,independent_generator,3000,0.0625,0.125,0.0948447382171067,132.0
0,relay_standardized,unseen_users,100,0.25,0.8125,0.4494919143356643,3.0
0,relay_standardized,unseen_users,1000,0.0625,0.1875,0.11531880366916356,96.5
0,relay_standardized,unseen_users,3000,0.0,0.25,0.09369422543204003,20.0
0,relay_standardized,independent_generator,100,0.0625,0.3125,0.14057840497661295,21.0
0,relay_standardized,independent_generator,1000,0.0,0.125,0.05172688131912924,213.5
0,relay_standardized,independent_generator,3000,0.0,0.0,0.0073886957426557865,624.5
0,shielded_batched,unseen_users,100,0.25,0.4375,0.30963834534976376,11.0
0,shielded_batched,unseen_users,1000,0.0,0.0,0.011582192538707802,158.0
0,shielded_batched,unseen_users,3000,0.0,0.0,0.019980389818322397,182.5
0,shielded_batched,independent_generator,100,0.0,0.25,0.06418291768603218,26.0
0,shielded_batched,independent_generator,1000,0.0,0.0,0.010753913796559093,252.0
0,shielded_batched,independent_generator,3000,0.0,0.0,0.003141748001832136,1231.0
1,rotation_only,unseen_users,100,0.8125,0.9375,0.8411458333333333,1.0
1,rotation_only,unseen_users,1000,0.5625,1.0,0.7057291666666666,1.0
1,rotation_only,unseen_users,3000,0.625,0.9375,0.7322916666666667,1.0
1,rotation_only,independent_generator,100,0.25,0.875,0.4400126854020297,3.0
1,rotation_only,independent_generator,1000,0.125,0.3125,0.21108568300180142,21.0
1,rotation_only,independent_generator,3000,0.0625,0.25,0.10995062157100341,135.0
1,relay_standardized,unseen_users,100,0.125,0.75,0.30566916282642087,4.5
1,relay_standardized,unseen_users,1000,0.1875,0.625,0.3106683712330375,7.0
1,relay_standardized,unseen_users,3000,0.0,0.3125,0.07846886120917332,24.0
1,relay_standardized,independent_generator,100,0.0625,0.1875,0.13833082974028404,31.5
1,relay_standardized,independent_generator,1000,0.0,0.0625,0.018345496183039472,182.0
1,relay_standardized,independent_generator,3000,0.0,0.0,0.004680308240514953,770.5
1,shielded_batched,unseen_users,100,0.125,0.3125,0.19456307906631826,17.0
1,shielded_batched,unseen_users,1000,0.0,0.1875,0.0687940574987506,44.0
1,shielded_batched,unseen_users,3000,0.0,0.125,0.03579905593047141,113.5
1,shielded_batched,independent_generator,100,0.0625,0.1875,0.10721460864661464,40.0
1,shielded_batched,independent_generator,1000,0.0,0.0,0.003099834754079567,363.5
1,shielded_batched,independent_generator,3000,0.0,0.0,0.001849372076139778,1200.5
