profile,split,candidate_size,top1_mean,top10_mean,mrr_mean,median_rank_mean
relay_standardized,independent_generator,100,0.0625,0.25,0.1394546173584485,26.25
relay_standardized,independent_generator,1000,0.0,0.09375,0.03503618875108436,197.75
relay_standardized,independent_generator,3000,0.0,0.0,0.00603450199158537,697.5
relay_standardized,unseen_users,100,0.1875,0.78125,0.37758053858104257,3.75
relay_standardized,unseen_users,1000,0.125,0.40625,0.21299358745110053,51.75
relay_standardized,unseen_users,3000,0.0,0.28125,0.08608154332060668,22.0
rotation_only,independent_generator,100,0.28125,0.84375,0.46017745419269085,2.75
rotation_only,independent_generator,1000,0.125,0.40625,0.20534282480952845,16.75
rotation_only,independent_generator,3000,0.0625,0.1875,0.10239767989405506,133.5
rotation_only,unseen_users,100,0.875,0.96875,0.9049479166666666,1.0
rotation_only,unseen_users,1000,0.46875,0.8125,0.5842205073673097,2.75
rotation_only,unseen_users,3000,0.46875,0.96875,0.606374007936508,2.0
shielded_batched,independent_generator,100,0.03125,0.21875,0.08569876316632341,33.0
shielded_batched,independent_generator,1000,0.0,0.0,0.00692687427531933,307.75
shielded_batched,independent_generator,3000,0.0,0.0,0.0024955600389859572,1215.75
shielded_batched,unseen_users,100,0.1875,0.375,0.252100712208041,14.0
shielded_batched,unseen_users,1000,0.0,0.09375,0.040188125018729204,101.0
shielded_batched,unseen_users,3000,0.0,0.0625,0.027889722874396904,148.0
