path,phase,required,owner,status,revision,sha256,consumes,evidence_ids,confidentiality,produced_by,verified_by,verification_id,verification_event_id,provenance_event_id,schema_id,schema_revision,semantic_type,na_policy_code,na_reason_code,verifier_registry_id,signing_key_id,updated_at,notes
00-governance/intake-original.md,INTAKE,true,intake_integration,DRAFT,2,1b00c7ec4ca6187b9fdd49d498081eab9d20178164d18fe01af3f4853e59560b,,INPUT-001,UNRESOLVED,dispatch-f34f89582345,,,,,S4::00_governance_intake_original_md,1,intake_original,INTAKE_REQUIRED,,,,2026-08-28T22:09:40Z,"Integrated the user-confirmed six-field intake; resolved the study as a simulation/computational-methods research paper; recorded JFMI as a provisional trial target only; set a public-metadata-only egress boundary; capped claims at formal, simulated, or internal-prototype maturity; and preserved author identity, declarations, institutional authority, final venue, external validation, and submission as separate gates."
00-governance/intake.json,INTAKE,true,intake_integration,DRAFT,2,605fa53d78dbcffde816de656772c860f3b3ae8faaa01e6319a8a818cb24f1f8,00-governance/intake-original.md,INPUT-001,UNRESOLVED,dispatch-f34f89582345,,,,,S4::00_governance_intake_json,1,normalized_intake,INTAKE_REQUIRED,,,,2026-08-28T22:09:40Z,"Integrated the user-confirmed six-field intake; resolved the study as a simulation/computational-methods research paper; recorded JFMI as a provisional trial target only; set a public-metadata-only egress boundary; capped claims at formal, simulated, or internal-prototype maturity; and preserved author identity, declarations, institutional authority, final venue, external validation, and submission as separate gates."
00-governance/program-charter.md,INTAKE,true,intake_integration,DRAFT,2,ceb790f5405942ebd5646463de0518a794df3d33054a2f11c84cb72c13793d3e,00-governance/intake.json,INPUT-001,UNRESOLVED,dispatch-f34f89582345,,,,,S4::00_governance_program_charter_md,1,program_charter,CHARTER_REQUIRED,,,,2026-08-28T22:09:40Z,"Integrated the user-confirmed six-field intake; resolved the study as a simulation/computational-methods research paper; recorded JFMI as a provisional trial target only; set a public-metadata-only egress boundary; capped claims at formal, simulated, or internal-prototype maturity; and preserved author identity, declarations, institutional authority, final venue, external validation, and submission as separate gates."
00-governance/decision-log.md,INTAKE,false,intake_integration,DRAFT,2,ab8d0549391bed46d734fb27ff078226aa457f52bef8f3c02dedff4a42de5bc9,00-governance/intake.json,INPUT-001,UNRESOLVED,dispatch-f34f89582345,,,,,S4::00_governance_decision_log_md,1,decision_log,CONTROL_LEDGER,,,,2026-08-28T22:09:40Z,"Integrated the user-confirmed six-field intake; resolved the study as a simulation/computational-methods research paper; recorded JFMI as a provisional trial target only; set a public-metadata-only egress boundary; capped claims at formal, simulated, or internal-prototype maturity; and preserved author identity, declarations, institutional authority, final venue, external validation, and submission as separate gates."
00-governance/study-profile.json,INTAKE,true,intake_integration,DRAFT,2,8990d5f3f1ddd48aa3a94b9a63089d0f7917bf72a89eab8aafb9878d11b51338,00-governance/intake.json,INPUT-001,UNRESOLVED,dispatch-f34f89582345,,,,,S4::00_governance_study_profile_json,1,study_profile,PROFILE_REQUIRED_BEFORE_DESIGN,,,,2026-08-28T22:09:40Z,"Integrated the user-confirmed six-field intake; resolved the study as a simulation/computational-methods research paper; recorded JFMI as a provisional trial target only; set a public-metadata-only egress boundary; capped claims at formal, simulated, or internal-prototype maturity; and preserved author identity, declarations, institutional authority, final venue, external validation, and submission as separate gates."
00-governance/egress-policy.json,INTAKE,false,intake_integration,DRAFT,1,176051c1356f40dc477b3c3e838fe190542e10988d355e4b64c17177e824222c,00-governance/program-charter.md,INPUT-001,UNRESOLVED,dispatch-f34f89582345,,,,,S4::00_governance_egress_policy_json,1,egress_policy,DOCUMENTED_EXCEPTION,,,,2026-08-28T22:09:40Z,"Integrated the user-confirmed six-field intake; resolved the study as a simulation/computational-methods research paper; recorded JFMI as a provisional trial target only; set a public-metadata-only egress boundary; capped claims at formal, simulated, or internal-prototype maturity; and preserved author identity, declarations, institutional authority, final venue, external validation, and submission as separate gates."
00-governance/capability-preflight.json,INTAKE,false,intake_integration,DRAFT,1,05a08ab36fbc36463220b68440a87e502f1d3fbd4f8db7139e0d47a7dc6d2aa9,00-governance/program-charter.md,INPUT-001,UNRESOLVED,dispatch-f34f89582345,,,,,S4::00_governance_capability_preflight_json,1,capability_preflight,DOCUMENTED_EXCEPTION,,,,2026-08-28T22:09:40Z,"Integrated the user-confirmed six-field intake; resolved the study as a simulation/computational-methods research paper; recorded JFMI as a provisional trial target only; set a public-metadata-only egress boundary; capped claims at formal, simulated, or internal-prototype maturity; and preserved author identity, declarations, institutional authority, final venue, external validation, and submission as separate gates."
01-novelty/problem-investigation.md,NOVELTY_AUDIT,true,root-integration-owner,DRAFT,3,cfb175eb35174bf85e726dc4d93a55a06bd71b6ca0b0ba2b17b7c8f63720f792,00-governance/program-charter.md,"N001,N002,N003,N004,N005,N006,N007,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017",UNRESOLVED,github-publication-reconciliation,,,,PROV-8ecd6a86bf1e,S4::01_novelty_problem_investigation_md,1,01_novelty_problem_investigation_md_document,CANONICAL_ARTIFACT_POLICY,,,,2026-08-30T03:46:59Z,Reconciled CEV full-text review and remaining novelty blockers before GitHub staging.
01-novelty/novelty-claim-specification.md,NOVELTY_AUDIT,true,root-integration-owner,DRAFT,3,fc5bf570a1e8f3bdb1954bad25b0b8cc429c3e92f5facd70524dcf39479de65c,01-novelty/problem-investigation.md,C001,UNRESOLVED,github-publication-reconciliation,,,,PROV-0d6eb6171b7b,S4::01_novelty_novelty_claim_specification_md,1,01_novelty_novelty_claim_specification_md_document,CANONICAL_ARTIFACT_POLICY,,,,2026-08-30T03:46:59Z,Refreshed canonical hash binding for GitHub staging.
01-novelty/search-protocol.md,NOVELTY_AUDIT,true,primary_novelty_search,DRAFT,4,940448dc21cc8ec185e99d092cd758d6453b4879929af024dc42589cd6fa9aad,01-novelty/problem-investigation.md,C001,UNRESOLVED,github-publication-reconciliation,,,,PROV-04b459ddbeac,S4::01_novelty_search_protocol_md,1,01_novelty_search_protocol_md_document,CANONICAL_ARTIFACT_POLICY,,,,2026-08-30T03:46:59Z,Refreshed canonical search-protocol binding for GitHub staging.
